Name,Type,Lat,Lng
东广场(远东批发),交通设施,43.90558487280145,125.33242881584012
东三道街,交通设施,43.88746100153295,125.34234690540048
远东批发,交通设施,43.905536925393356,125.32985381493978
大马路,交通设施,43.88982748407321,125.33658059661455
春城雅苑,交通设施,43.910637831620846,125.32908575074816
荣光桥,交通设施,43.88677980577436,125.35133660099066
平治街,交通设施,43.886351581800376,125.33106681874567
伪满皇宫地铁站-D口,交通设施,43.90350195292627,125.34602198327376
伪满皇宫,交通设施,43.9041941147365,125.34580797556725
伪满皇宫地铁站-C口,交通设施,43.90398523298732,125.34658263906144
伪满皇宫地铁站-B口,交通设施,43.90487781429494,125.34577228509309
东广场地铁站-C口,交通设施,43.90608493804291,125.33251807013767
东广场地铁站-B口,交通设施,43.90674912464065,125.333233398782
东大桥,交通设施,43.89774401396799,125.35059594533922
东广场,交通设施,43.906535427066316,125.33209691218816
东大桥地铁站-A口,交通设施,43.89746526123128,125.35075061465925
东广场地铁站-D1口,交通设施,43.90633846310041,125.33107548708432
东大桥,交通设施,43.89701161431465,125.35106792277575
亚泰大街,交通设施,43.89186705197708,125.33963930618378
北亚泰大街,交通设施,43.910048582792925,125.33120025138217
北亚泰大街地铁站-A口,交通设施,43.910458734216014,125.33157853126228
北亚泰大街地铁站-B口,交通设施,43.91050924057297,125.32977206913723
大经路,交通设施,43.88792641477393,125.32943086389032
胜利公园,交通设施,43.89769233775825,125.3178501618911
东新路,交通设施,43.88971325192046,125.35948991359908
长春站,交通设施,43.90694877844108,125.31722830137257
胜利公园地铁站-B1口,交通设施,43.89849522467438,125.31813640145093
长春站地铁站-C口,交通设施,43.907060431621375,125.31743157873558
胜利公园地铁站-A口,交通设施,43.89819509962073,125.31711066531317
胜利公园地铁站-D口,交通设施,43.89679437992121,125.31748856619707
东新路地铁站-B口,交通设施,43.889487128906815,125.35978137583555
东新路地铁站-A口,交通设施,43.889471053348956,125.35924982907028
太平街停车场,交通设施,43.90083374114978,125.34036397055047
陕西路2停车场,交通设施,43.900531202353974,125.34052320185295
光复路-路侧停车场,交通设施,43.90134489665817,125.34221208326935
停车场(光复路),交通设施,43.90155121663066,125.33786664646173
光复路庆丰大厦-停车场,交通设施,43.90299029892416,125.33636929103194
新天地购物公园(亚泰大街店)-地上停车场,交通设施,43.896831225694775,125.33977684386647
新天地购物公园(亚泰大街店)-地下停车场,交通设施,43.8966463887429,125.33912320079263
远东服装大厦-停车场,交通设施,43.905604279420146,125.33119378316522
活力城-地下停车场,交通设施,43.88861164880337,125.32770339154126
长春站-南地下停车场,交通设施,43.906551173729945,125.31880447415016
长春国贸批发西北侧-停车场,交通设施,43.90233281224624,125.33408229421443
欧亚益民-地上停车场,交通设施,43.886516920641284,125.33589025721682
吉佳商场停车场,交通设施,43.90169985743464,125.33548585725703
清真寺(昆明街)-南门地上停车场,交通设施,43.89762870183889,125.34274514424865
农贸水产市场(长白路店)-地上停车场,交通设施,43.906663353027724,125.33932804004966
长春市妇产医院-地上停车场,交通设施,43.89430155128315,125.32697697084899
汪伪政府驻伪满洲国大使馆旧址-停车场,交通设施,43.89942778092669,125.33959416950917
好旺角大厦-地上停车场,交通设施,43.89340792256338,125.3236906690744
停车场(胜利大街),交通设施,43.9005275639226,125.33170844255758
东北宾馆酒店用品城-停车场,交通设施,43.892719640482454,125.3397409467274
停车场(龙翔苑小区东南),交通设施,43.897995154470465,125.33896543479223
长春科技城-停车场,交通设施,43.903859746890994,125.31809642939604
停车场,交通设施,43.90027628457157,125.33808944133924
万晟现代城B区C座-停车场,交通设施,43.897462260190764,125.33352827381405
产院胡同-停车场,交通设施,43.894903512747405,125.32478744266753
车海洋智慧城市便民洗车(新天地购物公园店)-地下停车场,交通设施,43.896493420004745,125.33997400254343
