Name,Type,Lat,Lng,Address
光复路小区-209栋,房地产,43.902380757653354,125.33717371379568,长春市宽城区东七条街百利宾馆南侧约90米
女子公寓-C栋,房地产,43.899832711007065,125.34054872871684,长春市南关区中环十一区C栋
光复路-132栋,房地产,43.90022744216391,125.33890988514759,长春市南关区光复路132栋
龙翔苑-B栋,房地产,43.89835071838594,125.33954993693702,长春市南关区长通路567名居西南侧约40米
陕西路小区,房地产,43.90216655243244,125.34159510649428,长春市宽城区伪皇宫交警队楼上
陕西路-217号楼,房地产,43.90065973175787,125.34013012647189,吉林省长春市南关区第二幼儿园(伪满皇宫博物院西南)
光复路-210栋,房地产,43.9028670493167,125.33660604932406,长春市宽城区光复路210栋
龙祥苑,房地产,43.89848258401959,125.33778501543009,陕西路480号
光复路小区-215栋,房地产,43.90383115534886,125.33768488460568,吉林省长春市宽城区光复路小区(伪满皇宫博物院西)
太平街-93号楼,房地产,43.90102514480376,125.3389882257192,吉林省长春市南关区第二幼儿园(伪满皇宫博物院西南)
光复路小区-115栋,房地产,43.90103727947002,125.33827869427316,吉林省长春市南关区光复路小区115栋
中环十一区-12栋,房地产,43.898621924317276,125.34182390478061,长春市南关区中环十一区12栋
长通家园,房地产,43.89912775514063,125.34570490671487,吉林省长春市南关区向阳街
长通家园A区-A6栋,房地产,43.900259564821994,125.34460934459153,吉林省长春市南关区长通家园A6栋
567名居-6号楼,房地产,43.898847188111056,125.33939165449709,长春市南关区陕西路567名居
吉盛商务宾馆(长春火车站伪满皇宫店),酒店,43.90050735772063,125.3308434241051,胜利大街1252号
如家华驿酒店(长春东大桥店),酒店,43.89447541427829,125.34624071182995,长春大街2511号中环11区41号楼
锦江之星(长春火车站新店),酒店,43.902277490868066,125.32280542846287,珠江路318号珠江路和东二条交汇
全季酒店(长春火车站店),酒店,43.90668893497384,125.3222301074713,长白路358号
雅客小镇假日酒店(长春火车站伪满皇宫店),酒店,43.895964398274145,125.33640530203563,亚泰大街1169号
汉庭酒店(长春火车站店),酒店,43.90732268197568,125.31970104195418,长白路1号
思瑞秋酒店(长春伪满皇宫火车站店),酒店,43.89367253791521,125.33892687438261,长通街道中环11区8号楼1单元101室
myhome时尚宾馆,酒店,43.89333630825679,125.33497714894315,老市场胡同永春二期8号楼107室
丽晶饭店(长春火车站店),酒店,43.90419023792706,125.31845536943057,人民大街6号黄河路客运站旁
全季酒店(长春新天地长春大街店),酒店,43.890608859936854,125.33359832532308,大马路1059号
长春泰玖嘉旗假日酒店,酒店,43.89928305142082,125.33116719004911,上海路与大马路交汇
如家酒店·neo(长春火车站店),酒店,43.907157246709055,125.31966646118643,长白路25号
如家商旅酒店(长春人民广场重庆路活力城店),酒店,43.88870890139701,125.33207015189257,长春大街1212号
长春亚泰饭店,酒店,43.888576163640266,125.31895164632105,人民大街1968号
锦江之星(长春吉大二院人民广场店),酒店,43.88236618503656,125.32404729557645,民康路328号
环球大酒店(长春伪满皇宫新天地购物公园店),酒店,43.89002420077368,125.33326735939893,吉林省长春市南关区大马路1119号(与长春大街交汇处)
雅客小镇假日酒店(长春人民广场重庆路),酒店,43.887409882686626,125.32824209049723,长春大街与大经路交汇西行30米 (860号)
全季酒店(长春吉林大路店),酒店,43.880111784325,125.34996688301929,吉林大路535号
长春吉亚思商务宾馆,酒店,43.886351528365935,125.33637449616661,大马路与四道街交汇
长春香格里拉,酒店,43.88729501394291,125.31200865146013,西安大路569号
桔子酒店(长春火车站万达广场店),酒店,43.91108131918897,125.32631339218837,铁北二路1144号
汉庭酒店(长春吉林大路地铁站店),酒店,43.88078940124728,125.35013853994971,吉林大路535号
科技城商务宾馆(长春火车站店),酒店,43.90362072917938,125.31818297497982,长江路开发区长春科技楼6楼
非凡·臻品酒店(长春火车站店),酒店,43.90214049776719,125.3238082929487,珠江路与东二条交汇处
全季酒店(长春人民广场万象城店),酒店,43.885494266044944,125.3112268884591,同志街119号
汉庭酒店(长春人民广场店吉大二院店),酒店,43.88065571030795,125.32724456023809,民康路666号 (与四道街交汇处)
汉庭酒店(长春人民广场重庆路店),酒店,43.88774221911414,125.31849128594637,人民大街2076号
爱遇智能影院公寓(长春天伦中央店),酒店,43.89343917223353,125.3331424752844,大马路55号天伦中央区A1栋21层2111房
中长大厦(长春火车站店),酒店,43.90641460005326,125.31127484419794,辽宁路458号
艾斯酒店(长春重庆路人民广场店),酒店,43.887290038914074,125.32218699125539,清明街868号
吉林省松苑宾馆,酒店,43.89439839503917,125.31009780167399,吉林省长春市宽城区新发路1169号
珠江旅馆,酒店,43.90242597687617,125.32859687380262,吉林省长春市宽城区珠江路802号
长春星河快捷公寓,酒店,43.89495427221779,125.34764245770346,东大桥转盘长春大街口处（东大小区2-8号）
长春睿家时尚宾馆,酒店,43.90227308715832,125.32832621083064,吉林省长春市宽城区珠江路792号
长春佳园宾馆,酒店,43.89529757172445,125.33902201703265,吉林省长春市南关区中环十一区2栋门市
浩泰宾馆(东六条街),酒店,43.9062839969728,125.33506355741982,吉林省长春市宽城区东广街道长白路5号
长春安居客房,酒店,43.89812174708044,125.33915625222346,吉林省长春市陕西路中环小区14A栋
长春悦洋宾馆,酒店,43.899040829187534,125.33090229455127,吉林省长春市南关区上海路b区7号楼
吉士蜗窝公寓(黄河路店),酒店,43.90506304613483,125.33352225735347,吉林省长春市宽城区东广街道黄河路13号
佳之缘时尚宾馆(中环十一区西南),酒店,43.89526542777666,125.33903902521762,吉林省长春市南关区亚泰大街11区2栋
泊寓城市青年家(胜利大街店),酒店,43.90042375675755,125.33025765492091,吉林省长春市宽城区胜利大街1215号（上海路交汇处）
东城旅馆(长春大街店),酒店,43.89481098303428,125.34570255290622,吉林省长春市南关区东大桥东大小区二期22栋
小薇旅馆,酒店,43.90245001111503,125.32992232107019,吉林省长春市宽城区珠江路912号
阳阳招待所,酒店,43.900196063659585,125.33061947450446,吉林省长春市宽城区东三条街888-5号
鑫新旅店(长春南关店),酒店,43.89343722171157,125.33528250006698,吉林省长春市南关区四马路永春g区8栋
蓝旺旅馆,酒店,43.89693593398104,125.33550223756544,长春市南关区东五马路永长社区中环自治小区
实墙公寓可日租,酒店,43.89563104867723,125.33049094096025,长春市南关区汪清街永春B区2区自治小区南侧
钰如时尚旅馆,酒店,43.89488725685642,125.34014286533227,吉林省长春市南关区福禄街170号十一区10栋
南关区家玉美宾馆酒店用品店,酒店,43.892900524061425,125.3400028138033,吉林省长春市南关区亚泰大街1588号东北宾馆酒店用品城2层23号场地
新乐旅馆(西五马路店),酒店,43.89535037311635,125.33112381241412,长春市南关区西五马路美嘉城大厦
紫月时尚入住,酒店,43.89217314911958,125.33629626633443,吉林省长春市南关区东三马路838号
长春市市场监督管理局宽城分局东广市场监督管理所,政府机构,43.90176948326889,125.33949040100218,长春市南关区光复路南关区第二幼儿园西北侧约30米
长春市公安局交通警察支队光复路中队,政府机构,43.900402542106185,125.34048030023997,长春市南关区陕西路226号
